iter	MultiClass
0	1.037558316
1	0.984864192722	0.937982880633	0.897423106444	0.860203164955	0.8269542651
6	0.7969815847
7	0.7700648508
8	0.7451363246
9	0.7225600161
10	0.7018042399
11	0.6830176375
12	0.6660187599
13	0.6499451261
14	0.6352989375
15	0.6219483226
16	0.6093368509
17	0.5981197566
18	0.5873353865
19	0.5771630201
20	0.5678757096
21	0.5591856883
22	0.5509989894
23	0.5434020494
24	0.5365676497
25	0.529799861
26	0.5234534784
27	0.5175904122
28	0.5120737952
29	0.5070928868
30	0.5023927923
31	0.4980164072
32	0.494030604
33	0.4902855518
34	0.486618234
35	0.4837799273
36	0.4802617597
37	0.4772200286
38	0.4745214328
39	0.4718728588
40	0.4693857614
41	0.467021538
42	0.4650624893
43	0.4631021014
44	0.4610735376
45	0.4591615597
46	0.4576701404
47	0.4563022847
48	0.4547840921
49	0.4533853545
50	0.452153504
51	0.4508349842
52	0.4495886684
53	0.4484520757
54	0.4473250028
55	0.4462559049
56	0.4450621527
57	0.4439735078
58	0.4428981681
59	0.4419048125
60	0.4409836178
61	0.4401834817
62	0.439551955
63	0.4387134276
64	0.4380983111
65	0.4376378294
66	0.4370757724
67	0.4365243309
68	0.435834337
69	0.4352670076
70	0.4347605102
71	0.43437179
72	0.4339331501
73	0.4335338984
74	0.4330286333
75	0.4326445144
76	0.4321771213
77	0.4319591919
78	0.4316168034
79	0.431396836
80	0.4310501572
81	0.4307696305
82	0.4304360362
83	0.430172283
84	0.429867133
85	0.4295830852
86	0.4293475067
87	0.4291519294
88	0.4288039824
89	0.4285986651
90	0.4284771025
91	0.4282861688
92	0.4280714507
93	0.4278771893
94	0.4276983884
95	0.4275465682
96	0.4273782498
97	0.4273037081
98	0.4271543385
99	0.4270324911
100	0.4268208245
101	0.4267566332
102	0.426569476
103	0.4263217197
104	0.4262232084
105	0.4260088753
106	0.4258301072
107	0.425659867
108	0.4255530358
109	0.4253828367
110	0.4251730709
111	0.4250664299
112	0.4249389994
113	0.4248325293
114	0.4246770211
115	0.4244890776
116	0.424384873
117	0.4242472231
118	0.4241176309
119	0.4240299209
120	0.4238853251
121	0.4237726122
122	0.4236912935
123	0.423533584
124	0.4234591905
125	0.4233468948
126	0.4232582734
127	0.4231505213
128	0.4230798044
129	0.4230116036
130	0.4228639824
131	0.4227796418
132	0.4227276749
133	0.4226424719
134	0.4225255914
135	0.4224313395
136	0.4222877959
137	0.422202235
138	0.4220836514
139	0.4220079865
140	0.4219345362
141	0.4218313776
142	0.4217704868
143	0.4216590235
144	0.4215267999
145	0.4214497392
146	0.4213527389
147	0.4212876608
148	0.4212115516
149	0.4211528116
150	0.421088552
151	0.4210439478
152	0.420999785
153	0.4209111283
154	0.4208369134
155	0.4207866917
156	0.4207003187
157	0.4206505918
158	0.4205841835
159	0.4205354443
160	0.4204346767
161	0.4203677868
162	0.4203218519
163	0.4202609112
164	0.4201728749
165	0.4200777778
166	0.4200180642
167	0.4199282862
168	0.4198801108
169	0.4197796494
170	0.4197309792
171	0.4196604827
172	0.4195748195
173	0.4194891315
174	0.419414994
175	0.4193016459
176	0.4192302807
177	0.4191477466
178	0.4190672996
179	0.4189973688
180	0.4189281013
181	0.418840869
182	0.4187693053
183	0.4186830307
184	0.4186050764
185	0.4185534333
186	0.4184722592
187	0.4184046127
188	0.4183023609
189	0.418252505
190	0.418201262
191	0.418149077
192	0.4181218799
193	0.4180821328
194	0.4179994326
195	0.4179265793
196	0.4178262144
197	0.4177578626
198	0.4176378661
199	0.4175883596
200	0.4175462191
201	0.4174687194
202	0.4174098571
203	0.4173713375
204	0.4173305473
205	0.4172035729
206	0.417119365
207	0.417073311
208	0.4170135656
209	0.4169190023
210	0.4168111031
211	0.4167374614
212	0.4167090156
213	0.4166223099
214	0.4165669798
215	0.4165150691
216	0.4164727584
217	0.4164356896
218	0.4163674374
219	0.4163282865
220	0.4162572857
221	0.4161972749
222	0.4161205108
223	0.4160264146
224	0.4159781642
225	0.4159002789
226	0.4158556193
227	0.4157798615
228	0.4156664664
229	0.4156134386
230	0.4155413017
231	0.4155130891
232	0.4154743895
233	0.4154279424
234	0.4153511916
235	0.4152926394
236	0.415196576
237	0.4151568407
238	0.4150678093
239	0.4149664502
240	0.4149228266
241	0.4148261008
242	0.4147516738
243	0.4146567934
244	0.4146208736
245	0.4145924335
246	0.4145453447
247	0.4145178658
248	0.4144547124
249	0.4144223358
946657
