iter	Passed	Remaining
0	90	22609
1	177	22010
2	247	20354
3	331	20383
4	411	20157
5	497	20231
6	588	20420
7	668	20214
8	748	20030
9	825	19812
10	916	19910
11	997	19789
12	1085	19780
13	1170	19728
14	1250	19598
15	1331	19476
16	1416	19420
17	1493	19251
18	1579	19209
19	1661	19104
20	1740	18980
21	1819	18860
22	1910	18858
23	1986	18709
24	2072	18650
25	2155	18572
26	2242	18522
27	2324	18429
28	2408	18352
29	2486	18231
30	2578	18218
31	2659	18118
32	2743	18040
33	2821	17924
34	2899	17809
35	2960	17600
36	3049	17552
37	3137	17503
38	3224	17447
39	3304	17350
40	3397	17320
41	3479	17232
42	3570	17188
43	3651	17097
44	3734	17013
45	3820	16943
46	3897	16835
47	3982	16760
48	4061	16661
49	4130	16520
50	4213	16440
51	4296	16358
52	4380	16283
53	4468	16220
54	4539	16094
55	4627	16029
56	4708	15941
57	4793	15868
58	4884	15812
59	4958	15702
60	5045	15634
61	5134	15567
62	5212	15473
63	5303	15412
64	5384	15323
65	5467	15241
66	5545	15147
67	5636	15085
68	5712	14984
69	5800	14914
70	5883	14832
71	5965	14749
72	6041	14647
73	6122	14561
74	6198	14462
75	6293	14409
76	6379	14332
77	6445	14212
78	6519	14110
79	6597	14020
80	6684	13946
81	6768	13867
82	6852	13788
83	6928	13691
84	7009	13607
85	7084	13509
86	7165	13424
87	7267	13379
88	7387	13364
89	7490	13315
90	7576	13238
91	7658	13151
92	7740	13068
93	7826	12988
94	7931	12940
95	8017	12862
96	8100	12777
97	8171	12674
98	8252	12587
99	8323	12485
100	8406	12402
101	8457	12272
102	8538	12186
103	8623	12105
104	8684	11992
105	8758	11898
106	8842	11817
107	8926	11736
108	9011	11656
109	9083	11561
110	9157	11467
111	9235	11379
112	9309	11287
113	9379	11189
114	9455	11099
115	9545	11027
116	9625	10942
117	9712	10865
118	9793	10781
119	9869	10692
120	9949	10607
121	10035	10528
122	10109	10438
123	10191	10355
124	10263	10263
125	10346	10182
126	10422	10094
127	10502	10010
128	10587	9930
129	10675	9854
130	10761	9775
131	10837	9688
132	10917	9603
133	10987	9511
134	11090	9447
135	11173	9366
136	11253	9282
137	11330	9195
138	11405	9107
139	11495	9032
140	11584	8955
141	11657	8866
142	11729	8776
143	11809	8693
144	11894	8613
145	11974	8529
146	12051	8443
147	12136	8364
148	12210	8277
149	12280	8186
150	12362	8104
151	12448	8025
152	12523	7939
153	12597	7853
154	12700	7784
155	12779	7700
156	12865	7620
157	12935	7532
158	13021	7452
159	13091	7363
160	13177	7284
161	13262	7204
162	13340	7120
163	13414	7034
164	13492	6950
165	13564	6864
166	13648	6783
167	13712	6693
168	13775	6602
169	13843	6514
170	13911	6426
171	13983	6341
172	14048	6252
173	14103	6160
174	14157	6067
175	14246	5990
176	14310	5902
177	14350	5804
178	14392	5708
179	14429	5611
180	14473	5517
181	14514	5422
182	14559	5330
183	14599	5236
184	14639	5143
185	14673	5049
186	14712	4956
187	14751	4865
188	14802	4777
189	14849	4689
190	14903	4603
191	14953	4517
192	14998	4429
193	15042	4342
194	15094	4257
195	15137	4170
196	15182	4084
197	15223	3998
198	15271	3913
199	15312	3828
200	15358	3744
201	15411	3662
202	15457	3578
203	15505	3496
204	15558	3415
205	15613	3334
206	15666	3254
207	15708	3171
208	15756	3090
209	15800	3009
210	15844	2928
211	15887	2847
212	15922	2765
213	15963	2685
214	16005	2605
215	16043	2525
216	16077	2444
217	16115	2365
218	16148	2285
219	16188	2207
220	16223	2128
221	16258	2050
222	16298	1973
223	16332	1895
224	16369	1818
225	16407	1742
226	16445	1666
227	16480	1590
228	16512	1514
229	16536	1437
230	16558	1361
231	16579	1286
232	16599	1211
233	16619	1136
234	16647	1062
235	16667	988
236	16691	915
237	16711	842
238	16732	770
239	16752	698
240	16773	626
241	16799	555
242	16823	484
243	16844	414
244	16864	344
245	16885	274
246	16903	205
247	16924	136
248	16947	68
249	16968	0
